code,short_description,long_description,category,chapter
A00.0,Cholera due to Vibrio cholerae 01 biovar cholerae,Cholera due to Vibrio cholerae 01 biovar cholerae,A00,Certain Infectious and Parasitic Diseases
A09.0,Infectious gastroenteritis and colitis,Infectious gastroenteritis and colitis unspecified,A00-A09,Certain Infectious and Parasitic Diseases
E11.9,Type 2 diabetes mellitus without complications,Type 2 diabetes mellitus without complications,E11,Endocrine Nutritional and Metabolic Diseases
E11.65,Type 2 diabetes mellitus with hyperglycemia,Type 2 diabetes mellitus with hyperglycemia,E11,Endocrine Nutritional and Metabolic Diseases
I10,Essential (primary) hypertension,Essential primary hypertension,I10,Diseases of the Circulatory System
I21.3,ST elevation myocardial infarction,ST elevation myocardial infarction of unspecified site,I21,Diseases of the Circulatory System
I50.9,Heart failure unspecified,Heart failure unspecified,I50,Diseases of the Circulatory System
J45.909,Unspecified asthma uncomplicated,Unspecified asthma uncomplicated,J45,Diseases of the Respiratory System
K21.9,Gastro-esophageal reflux disease without esophagitis,Gastro-esophageal reflux disease without esophagitis,K21,Diseases of the Digestive System
N18.6,End stage renal disease,End stage renal disease,N18,Diseases of the Genitourinary System
C50.9,Malignant neoplasm of breast unspecified,Malignant neoplasm of breast unspecified female,C50,Neoplasms
C34.10,Malignant neoplasm of upper lobe bronchus,Malignant neoplasm of upper lobe bronchus or lung,C34,Neoplasms
C61,Malignant neoplasm of prostate,Malignant neoplasm of prostate,C61,Neoplasms
F32.9,Major depressive disorder single episode,Major depressive disorder single episode unspecified,F32,Mental Behavioral and Neurodevelopmental Disorders
F41.1,Anxiety disorder generalized,Generalized anxiety disorder,F41,Mental Behavioral and Neurodevelopmental Disorders
G40.909,Epilepsy unspecified,Epilepsy unspecified not intractable without status epilepticus,G40,Diseases of the Nervous System
M17.9,Osteoarthrosis of knee unspecified,Osteoarthrosis of knee unspecified,M17,Diseases of the Musculoskeletal System and Connective Tissue
M54.5,Low back pain,Low back pain,M54,Diseases of the Musculoskeletal System and Connective Tissue
N39.0,Urinary tract infection site not specified,Urinary tract infection site not specified,N39,Diseases of the Genitourinary System
R07.9,Chest pain unspecified,Chest pain unspecified,R07,Symptoms Signs and Abnormal Clinical and Laboratory Findings
R50.9,Fever unspecified,Fever unspecified,R50,Symptoms Signs and Abnormal Clinical and Laboratory Findings
S72.001,Fracture of closed neck of right femur,Fracture of unspecified part of closed neck of right femur,S72,Injury Poisoning and Certain Other Consequences of External Causes
T78.40,Allergy unspecified,Allergy unspecified,T78,Injury Poisoning and Certain Other Consequences of External Causes
Z00.00,General adult medical exam,Encounter for general adult medical examination without abnormal findings,Z00,Factors Influencing Health Status and Contact with Health Services
Z79.01,Long term use of anticoagulants,Long term current use of anticoagulants,Z79,Factors Influencing Health Status and Contact with Health Services
